ecoregion,year,Latitude,Longitude,PTP,water,wetland,shrub,dshrub,dec,mixed,spruce,baresnow,GCSP
LH,2004,60.6322267,-154.2004361,223120209,0.08974359,0,0.362179487,0.512820513,0,0,0.03525641,0,0
LH,2004,60.34354323,-154.1646957,215950207,0,0,0,0,0.166666667,0.185897436,0.647435897,0,0
LH,2004,60.81460736,-154.3978352,227890503,0,0,0.812101911,0.121019108,0,0,0.066878981,0,0
LH,2004,60.2682962,-153.89727,213570205,0,0,0.015974441,0,0.293929712,0.063897764,0.626198083,0,0
AP,2005,58.31642621,-155.1345351,165660102,0,0,0,0.019292605,0,0,0,0.980707396,0
LH,2004,60.78531512,-154.4347757,227890103,0,0,0.254716981,0.562893082,0,0.128930818,0,0.05345912,0
AP,2005,58.3031559,-155.9066338,168000105,0.029032258,0,0,0.938709677,0,0,0,0.032258065,0
LH,2004,60.3517937,-154.1721581,215950205,0,0,0,0,0.687697161,0.233438486,0.078864353,0,0
AP,2005,58.7026571,-155.5114879,177590202,0,0.029032258,0,0.041935484,0.148387097,0.287096774,0.483870968,0,0
AP,2005,58.81041996,-155.2564892,177610303,0,0.032051282,0.051282051,0.916666667,0,0,0,0,0
AR,2004,60.14637589,-153.5981037,208800106,0,0,0,0.719242902,0,0,0,0.280757098,0
AP,2006,58.73141499,-154.0072064,172900209,0,0,0.060702875,0.686900958,0,0,0,0.252396166,0
LH,2004,60.36927944,-154.1807747,215950202,0,0,0.025396825,0,0.041269841,0.457142857,0.476190476,0,0
AP,2005,58.29662078,-155.100284,165660108,0,0,0,0,0,0,0,1,0
AP,2005,58.68463039,-154.3449981,172880102,0,0,0.003164557,0.243670886,0,0,0,0.753164557,0
AP,2005,59.0741376,-154.8751277,184810203,0,0,0.398713826,0.601286174,0,0,0,0,0
LH,2004,60.27386866,-153.9219224,213570202,0.015873016,0,0.041269841,0,0.073015873,0.053968254,0.79047619,0.025396825,0
LH,2004,60.79395653,-154.4295606,227890105,0,0,0.663492063,0.155555556,0,0.095238095,0.085714286,0,0
AP,2005,58.38136861,-155.4978505,168030309,0.063694268,0,0.315286624,0.27388535,0.181528662,0,0.165605096,0,0
AP,2005,58.95372855,-155.7254043,184760114,0,0.028753994,0.399361022,0.428115016,0,0,0.143769968,0,0
AP,2005,58.31909032,-155.1416067,165660101,0,0,0,0,0,0,0,1,0
AP,2006,58.29574412,-154.3959015,163310203,0,0,0.022012579,0.191823899,0,0,0,0.786163522,0
AP,2005,59.01795924,-154.9881757,182410301,0,0,0.03164557,0.96835443,0,0,0,0,0
AP,2005,58.43085051,-154.7136033,168070202,0,0,0.019047619,0.695238095,0,0,0,0.285714285,0
LH,2004,60.55241313,-153.8021907,220750109,0,0,0.696202532,0.297468354,0,0.006329114,0,0,0
AR,2006,59.93534773,-152.9136184,201670201,0.217252396,0,0.642172524,0,0,0,0.14057508,0,0
AR,2004,60.41318972,-152.5489531,213640106,0.044444444,0,0.650793651,0,0,0,0.076190476,0.228571429,0
AP,2005,58.8108725,-155.2653197,177610302,0,0.073248408,0.085987261,0.840764331,0,0,0,0,0
AP,2005,58.48976623,-156.140688,172770111,0,0,0.73968254,0.26031746,0,0,0,0,0
AR,2004,60.91256591,-153.9283518,230310205,0,0,0.53164557,0,0.003164557,0,0.465189873,0,0
AP,2005,59.08085737,-154.894868,184810206,0,0,0.908227848,0.022151899,0.069620253,0,0,0,0
AP,2005,58.26264113,-155.7377395,165620212,0,0,0.974358974,0.025641026,0,0,0,0,0
LH,2004,60.63327972,-154.2275955,223120301,0,0,0.525477707,0.302547771,0,0.140127389,0.031847134,0,0
AR,2004,60.04946876,-154.4545992,208750204,0,0,0.703821656,0.270700637,0,0,0.025477707,0,0
AP,2005,59.06959277,-154.8761122,184810202,0.022292994,0,0.175159236,0.802547771,0,0,0,0,0
AP,2006,58.24666673,-154.4906793,160910101,0,0,0,0,0,0,0,1,0
AP,2006,58.69775101,-154.0214523,172900101,0,0,0.078864353,0.23659306,0,0,0,0.684542587,0
AP,2005,58.30881536,-155.9299905,168000108,0,0,0.082018927,0.917981073,0,0,0,0,0
AP,2005,58.94406974,-155.0470395,182410102,0,0,0,0.814696486,0,0,0,0.185303514,0
LH,2004,60.17747509,-154.3489674,211150402,0,0,0.03514377,0,0.134185304,0.277955272,0.552715655,0,0
AP,2006,58.30238091,-154.4075804,163310201,0,0,0.099678457,0.170418006,0,0,0,0.729903537,0
AR,2004,60.96149669,-154.4911398,232670206,0,0,0.237341772,0,0,0,0.762658228,0,0
LH,2004,60.45821713,-153.7912295,218360405,0.223974763,0,0,0.009463722,0.192429022,0.110410095,0.116719243,0.347003155,0
AP,2006,58.17195648,-154.8091028,160890202,0,0,0.111821086,0,0,0,0,0.888178914,0
AP,2005,59.21389997,-155.4201294,189560301,0.101265823,0,0.477848101,0.420886076,0,0,0,0,0
AP,2005,58.98957191,-155.7469921,184760104,0.075949367,0.028481013,0.21835443,0.03164557,0.060126582,0.094936709,0.490506329,0,0
AP,2005,58.38217378,-155.0904001,168050102,0,0,0,0,0,0,0,1,0
AP,2005,58.64858687,-154.9667127,172840402,0,0,0,0.903536977,0,0,0,0.096463023,0
LH,2004,60.38110362,-154.1229738,215950104,0,0,0.5,0.124203822,0.184713376,0.108280255,0.082802548,0,0
AR,2004,60.05063963,-154.5386605,208750302,0,0,0.401273885,0.598726115,0,0,0,0,0
AP,2005,58.30198545,-155.1144721,165660106,0,0,0,0,0,0,0,1,0
AP,2005,58.98553661,-155.7426638,184760105,0.003164557,0.025316456,0.363924051,0.155063291,0.088607595,0.037974684,0.300632911,0,0
LH,2004,60.8431205,-153.8403146,227920302,0,0,0,0.412140575,0,0,0,0.587859425,0
AP,2005,58.31243307,-155.1297668,165660103,0,0,0,0,0,0,0,1,0
AP,2006,58.2450036,-154.4737983,160910103,0,0,0.003194888,0,0,0,0,0.996805112,0
AP,2005,58.82729215,-154.5189289,177650103,0,0,0,0.019230769,0,0,0,0.980769231,0
AR,2004,60.90371562,-153.9308262,230310203,0,0,0.455696203,0.234177215,0.006329114,0.189873418,0.113924051,0,0
AP,2005,58.62452745,-155.0489707,172840201,0.009493671,0,0.39556962,0,0.594936709,0,0,0,0
AP,2005,58.30573115,-155.0947043,165660206,0,0,0,0.041269841,0,0,0,0.958730159,0
AP,2005,58.70192838,-155.5462547,177590206,0,0,0.094936709,0.110759494,0.287974684,0.155063291,0.351265823,0,0
AR,2004,60.93959369,-154.498732,232670210,0.015822785,0.06329114,0.272151899,0,0,0,0.648734177,0,0
AP,2006,58.69948153,-154.0113217,172900103,0,0,0,0.103225806,0,0,0,0.896774194,0
AP,2005,58.68870199,-154.3413396,172880103,0,0,0,0.734177215,0,0,0,0.265822785,0
AR,2006,60.12582975,-152.8732744,206450204,0,0,0.544871795,0.371794872,0,0,0,0.083333333,0
AP,2005,58.80772811,-155.2716006,177610301,0.258785942,0.089456869,0.015974441,0.635782748,0,0,0,0,0
LH,2004,60.45392501,-153.7898407,218360406,0.272435897,0,0.019230769,0,0.092948718,0.080128205,0.298076923,0.237179487,0
AP,2005,58.99868731,-155.7441247,184760102,0,0,0.03164557,0.041139241,0,0.015822785,0.911392405,0,0
AP,2005,58.74811962,-154.7475986,175250111,0,0,0.022222222,0.752380952,0,0,0,0.225396826,0
